"Covariate","Parameter","Domain","Mean","SD","CI_95"
"SEX","beta_11","Domain 1",0.2755,0.1404,"[-0.0009, 0.5536]"
"SEX","beta_12","Domain 2",-0.0957,0.153,"[-0.4169, 0.1819]"
"SEX","beta_13","Domain 3",0.1483,0.1402,"[-0.1197, 0.4297]"
"SEX","beta_14","Domain 4",0.3997,0.1439,"[0.1158, 0.6843]"
"SEX","beta_15","Domain 5",0.3666,0.1546,"[0.0587, 0.6712]"
"EDUCYRS","beta_21","Domain 1",-0.033,0.073,"[-0.1743, 0.1092]"
"EDUCYRS","beta_22","Domain 2",0.094,0.0731,"[-0.0446, 0.2350]"
"EDUCYRS","beta_23","Domain 3",-0.0055,0.0702,"[-0.1425, 0.1322]"
"EDUCYRS","beta_24","Domain 4",0.2014,0.0669,"[0.0750, 0.3363]"
"EDUCYRS","beta_25","Domain 5",-0.071,0.0767,"[-0.2216, 0.0819]"
"PUTAMEN_R","beta_31","Domain 1",-0.9852,0.0951,"[-1.1771, -0.7984]"
"PUTAMEN_R","beta_32","Domain 2",-1.5564,0.1089,"[-1.7763, -1.3435]"
"PUTAMEN_R","beta_33","Domain 3",-0.9133,0.0884,"[-1.0927, -0.7426]"
"PUTAMEN_R","beta_34","Domain 4",-1.6267,0.1101,"[-1.8505, -1.4191]"
"PUTAMEN_R","beta_35","Domain 5",-0.664,0.0895,"[-0.8460, -0.4950]"
"","sigma^2","",1.4433,0.1483,"[1.1815, 1.7663]"
