"","ARI_M","ARI_IQR","Theta_M","Theta_IQR","Beta_M","Beta_IQR","Sigma_M","Sigma_IQR"
"S1_20%_N200",1,0,0.012,0.002,0.117,0.05,0.08,0.104
"S1_20%_N500",1,0,0.008,0.001,0.076,0.029,0.061,0.062
"S1_40%_N200",1,0,0.013,0.002,0.136,0.047,0.084,0.091
"S1_40%_N500",1,0,0.008,0.001,0.086,0.04,0.079,0.074
"S2_20%_N200",1,0,0.012,0.002,0.118,0.042,0.084,0.088
"S2_20%_N500",1,0,0.008,0.001,0.083,0.025,0.048,0.065
"S2_40%_N200",1,0,0.013,0.002,0.134,0.046,0.114,0.12
"S2_40%_N500",1,0,0.008,0.001,0.098,0.028,0.087,0.1
"S3_20%_N200",1,0,0.012,0.001,0.116,0.042,0.075,0.085
"S3_20%_N500",1,0,0.008,0.001,0.077,0.03,0.051,0.066
"S3_40%_N200",1,0,0.012,0.001,0.129,0.037,0.113,0.108
"S3_40%_N500",1,0,0.008,0.001,0.093,0.023,0.084,0.084
"S4_20%_N200",1,0,0.013,0.002,0.168,0.069,0.179,0.095
"S4_20%_N500",1,0,0.008,0.001,0.139,0.036,0.13,0.079
"S4_40%_N200",1,0,0.013,0.002,0.196,0.058,0.221,0.096
"S4_40%_N500",1,0,0.008,0.001,0.156,0.038,0.208,0.082
